arquivo,tm_id,nome,nacionalidade,nascimento,ultimo_clube,ultima_temporada
2.png,2,Mario Basler,Germany,1968-12-18,1.FC Kaiserslautern,2002
3.png,3,Andreas Buck,Germany,1967-12-29,1.FSV Mainz 05,2002
4.png,4,Youri Djorkaeff,France,1968-03-09,Red Bull New York,2006
6.png,6,Uwe Gospodarek,Germany,1973-08-06,Hannover 96,2009
7.png,7,Dimitrios Grammozis,Greece,1978-07-08,1.FC Köln,2005
10.png,10,Miroslav Klose,Germany,1978-06-09,SS Lazio,2015
16.png,16,Jörgen Pettersson,Sweden,1975-09-29,FC Copenhagen,2003
17.png,17,Hany Ramzy,Egypt,1969-03-10,1.FC Saarbrücken,2005
18.png,18,Ratinho,Brazil,1971-06-08,FC Luzern,2005
19.png,19,Marco Reich,Germany,1977-12-30,SK Austria Klagenfurt,2011
24.png,24,Jeff Strasser,Luxembourg,1974-10-05,Grasshopper Club Zurich,2009
26.png,26,Roman Weidenfeller,Germany,1980-08-06,Borussia Dortmund,2017
27.png,27,Murat Yakin,Switzerland,1974-09-15,FC Basel 1893,2005
28.png,28,Jens Keller,Germany,1970-11-24,Eintracht Frankfurt,2004
30.png,30,Archil Arveladze,Georgia,1973-02-22,1.FC Köln,2002
31.png,31,Alexander Bade,Germany,1970-08-25,Arminia Bielefeld,2008
44.png,44,Dirk Lottner,Germany,1972-03-04,MSV Duisburg,2005
51.png,51,Christian Timm,Germany,1979-02-27,Karlsruher SC,2011
53.png,53,Ivan Vukomanovic,Belgium,1977-06-19,Royal Antwerp FC,2008
54.png,54,Claus-Dieter Wollitz,Germany,1965-07-19,1.FC Köln,2000
56.png,56,Oliver Bierhoff,Germany,1968-05-01,Chievo Verona,2002
57.png,57,Thomas Berthold,Germany,1964-11-12,Adanaspor,2000
58.png,58,Raphael Wicky,Switzerland,1977-04-26,CD Chivas USA,2008
59.png,59,Timo Rost,Germany,1978-08-29,RB Leipzig,2011
62.png,62,Marko Babic,Croatia,1981-01-28,LASK,2012
63.png,63,Michael Ballack,Germany,1976-09-26,Bayer 04 Leverkusen,2011
64.png,64,Stefan Beinlich,Germany,1972-01-13,FC Hansa Rostock,2007
65.png,65,Dimitar Berbatov,Bulgaria,1981-01-30,AS Monaco,2014
66.png,66,Thomas Brdaric,Germany,1975-01-23,Hannover 96,2007
67.png,67,Markus Daun,Germany,1980-09-10,Alemannia Aachen,2010
68.png,68,Landon Donovan,United States,1982-03-04,Club León FC,2017
69.png,69,Anel Dzaka,Germany,1980-09-19,1.FC Kaiserslautern,2008
70.png,70,Emerson,Brazil,1976-04-04,AC Milan,2008
71.png,71,Vratislav Gresko,Slovakia,1977-07-24,Bayer 04 Leverkusen,2008
72.png,72,Frankie Hejduk,United States,1974-08-05,Los Angeles Galaxy,2011
73.png,73,Frank Juric,Australia,1973-10-28,Hannover 96,2007
74.png,74,Ulf Kirsten,Germany,1965-12-04,Bayer 04 Leverkusen,2002
75.png,75,Robert Kovac,Croatia,1974-04-06,GNK Dinamo Zagreb,2009
76.png,76,Diego Placente,Argentina,1977-04-24,AA Argentinos Juniors,2012
77.png,77,Lúcio,Brazil,1978-05-08,Brasiliense FC (DF),2017
